Protein Group Accessions;Medium/Light
Q13769;6.259
O00115;6.253
Q9UGN5;6.251
Q13769;6.228
Q15052;6.192
Q13769;6.164
Q9H307;6.121
P21333;6.074
Q5UIP0;6.065
Q9NZJ0;6.037
Q9NZJ0;6.037
P21333;6.030
Q13769;6.015
Q13769;6.015
Q86V48;5.997
Q86V48;5.997
Q96Q45;5.988
Q9H410;5.985
Q6WKZ4;5.963
Q6WKZ4;5.963
Q9H4A3;5.956
Q9H4A3;5.956
P21333;5.948
Q14493;5.909
Q9UJU6;5.894
P62753;5.887
O75152;5.882
O75152;5.882
O75152;5.882
O75152;5.882
P21333;5.868
O75152;5.819
O75152;5.819
O75152;5.819
O75152;5.819
O75152;5.819
O75152;5.819
P21333;5.792
P62753;5.784
P62753;5.784
O75152;5.783
O75152;5.783
O75152;5.783
O75152;5.783
Q14669;5.777
Q7Z5R6;5.740
Q9BSG1;5.737
P62753;5.729
O75152;5.707
P13807;5.700
P62753;5.682
P46013;5.672
P55201;5.670
O75132;5.657
Q8NFC6;5.654
Q9UJU6;5.654
Q9UJU6;5.654
O75152;5.631
O75152;5.631
O75152;5.619
O75152;5.619
O75152;5.619
O75152;5.619
P62753;5.602
Q5T200;5.601
Q5T200;5.601
O43166;5.595
O43166;5.595
P62753;5.588
P62753;5.586
P62753;5.586
P56211;5.527
O75152;5.505
O75152;5.505
O75152;5.505
Q9UKJ3;5.497
O43166;5.477
O43166;5.477
O43166;5.477
O43166;5.477
O43166;5.477
Q5T200;5.476
Q5T200;5.476
Q9UGN5;5.461
Q9UGN5;5.424
P21333;5.422
P21333;5.415
Q14493;5.395
Q14493;5.395
P0CAP2;5.367
P0CAP2;5.367
Q14493;5.334
Q14493;5.334
Q14493;5.334
P62753;5.325
P62753;5.325
P62753;5.325
O43166;5.307
O43166;5.307
O43166;5.307
O43166;5.307
O43166;5.307
O43166;5.307
Q66K74;5.304
Q66K74;5.304
Q9H4E7;5.280
P51587;5.255
P51587;5.255
Q9NZJ0;5.255
Q9NZJ0;5.255
O43166;5.242
O43166;5.242
O43166;5.242
O43166;5.242
O43166;5.242
O43166;5.242
O43166;5.242
O43166;5.242
Q86V48;5.219
Q14493;5.211
Q14493;5.211
Q9H4E7;5.197
P13807;5.134
Q9Y4G8;5.132
P51587;5.088
P31946|Q04917|P61981;5.049
P54198;5.038
O15511;5.030
Q9H4A3;5.024
Q9H4A3;5.024
Q8NHU6;5.018
P11717;5.002
Q9UKJ3;4.998
P07195;4.916
Q9NZJ0;4.892
Q9NZJ0;4.892
Q9Y2K2;4.869
Q9UKJ3;4.799
Q96Q45;4.793
Q96Q45;4.793
Q9UK76;4.750
Q9H4E7;4.747
Q9BTC0;4.746
Q9BTC0;4.725
Q12912;4.713
Q9HDC5;4.678
Q9HDC5;4.678
Q9Y2I7;4.658
P46013;4.647
P46013;4.647
Q5T5C0;4.628
Q96Q45;4.595
Q9Y4G8;4.588
Q9UKJ3;4.586
