Protein Group Accessions;Heavy/Light
O75152;3.126
O75152;3.126
O43166;3.115
O43166;3.115
O43166;3.115
O43166;3.115
O43166;3.115
O43166;3.115
P46013;3.090
P46013;3.090
P46013;3.079
P46013;3.079
Q07020;3.078
Q7Z5R6;3.072
Q5T5C0;3.070
P15056;3.044
P51587;3.042
P51587;3.042
Q14493;3.036
O43166;3.036
O43166;3.036
O43166;3.036
O43166;3.036
O43166;3.036
O43166;3.036
O43166;3.036
O43166;3.036
P11717;3.029
Q9Y2X3;3.021
Q9NPH3;3.018
O75152;3.016
O75152;3.016
O75152;3.016
O75152;3.016
Q14686;2.991
O75152;2.980
O75152;2.980
O75152;2.980
O75152;2.980
O75152;2.980
O75152;2.980
Q9UK76;2.975
P46013;2.973
Q9UKJ3;2.969
Q9UKJ3;2.969
Q9UKJ3;2.969
Q6WKZ4;2.967
Q6WKZ4;2.967
Q14738;2.964
Q9NZJ0;2.954
P46013;2.948
Q6WKZ4;2.946
Q8NDI1;2.930
Q8NDI1;2.930
Q9UKJ3;2.924
P83731;2.913
P51587;2.902
Q9UKJ3;2.895
Q9UKJ3;2.895
Q9UKJ3;2.895
Q9UKJ3;2.895
P11717;2.893
P11717;2.893
Q5UIP0;2.889
O75995;2.888
P46013;2.887
P20700;2.886
Q6WKZ4;2.868
Q96S55;2.867
P15056;2.827
O15511;2.826
O15511;2.824
O15511;2.824
Q8NDI1;2.823
Q8NDI1;2.823
Q9UJU6;2.822
Q13535;2.815
P18846;2.810
Q92620;2.801
Q92620;2.801
Q9Y2X3;2.794
Q53EL6;2.790
Q14738;2.768
Q14738;2.768
Q9UKJ3;2.766
Q9UKJ3;2.766
Q9UKJ3;2.766
Q99549;2.764
Q9UK76;2.760
Q9UBP0;2.726
Q96S55;2.725
Q96S55;2.725
Q14493;2.720
Q14738;2.711
Q14738;2.711
P46013;2.695
Q13535;2.689
Q13535;2.689
A2RRP1;2.681
P27448;2.681
Q13535;2.679
Q9UGN5;2.675
Q9NZJ0;2.673
Q9NZJ0;2.673
O15511;2.672
P11717;2.669
P11717;2.669
Q9ULH0;2.667
Q9BQF6;2.661
Q9BQF6;2.661
Q9BQF6;2.661
Q9BQF6;2.661
Q9BQF6;2.661
Q96S55;2.652
Q96S55;2.652
Q96S55;2.652
O00115;2.648
P46013;2.647
P46013;2.647
O75367;2.629
P20700;2.625
Q9BQF6;2.622
Q9BQF6;2.622
Q9NZJ0;2.613
Q9NZJ0;2.613
Q9UBP0;2.598
Q9UBP0;2.598
Q13535;2.596
Q8TEU7;2.595
Q8TEU7;2.595
P46013;2.594
P46013;2.594
P46013;2.594
P46013;2.594
Q5T4S7;2.594
Q13535;2.592
Q13535;2.592
Q9UK76;2.581
P16220|Q03060;2.570
P16220|Q03060;2.570
Q99549;2.569
P35269;2.567
Q9NZJ0;2.566
Q9UK76;2.564
P46013;2.558
P46013;2.558
Q8TEU7;2.549
P16220|Q03060;2.534
Q9BSG1;2.529
Q9NZJ0;2.527
Q96S55;2.523
Q96S55;2.523
Q96S55;2.523
Q9H4E7;2.521
Q9H4E7;2.521
Q9H4E7;2.521
Q66K74;2.519
Q66K74;2.519
P48651;2.513
Q8TEU7;2.512
Q9UBP0;2.510
Q9UBP0;2.510
Q9H4E7;2.500
Q9H4E7;2.500
Q9NZJ0;2.496
P48651;2.480
Q00537;2.478
P0CAP2;2.467
P0CAP2;2.467
Q9UGN5;2.450
O14974;2.435
P46013;2.429
P46013;2.429
P62750;2.423
Q8NDI1;2.416
Q9H410;2.416
Q9NZJ0;2.412
P46013;2.402
P46013;2.402
P46013;2.402
P46013;2.402
P46013;2.402
P15056;2.400
P15056;2.400
Q96S55;2.386
Q96S55;2.386
Q96S55;2.386
Q14493;2.383
Q14493;2.383
P15056;2.377
P15056;2.377
P15882;2.373
Q5T4S7;2.371
Q9BQF6;2.370
Q9BQF6;2.370
Q9BQF6;2.370
Q9BQF6;2.370
Q8TBM8;2.363
P47736;2.361
P47736;2.361
P47736;2.361
Q9NZJ0;2.353
Q9NZJ0;2.353
Q6GYQ0;2.341
Q9H4E7;2.341
Q9H4E7;2.341
Q9H2G2;2.339
Q13765;2.336
Q9NUQ8;2.334
Q5T4S7;2.328
Q15648;2.319
Q15648;2.319
Q15648;2.319
P13807;2.319
P56211;2.317
P56211;2.317
Q8TDZ2;2.315
Q8TDZ2;2.315
Q9NYZ3;2.315
Q6ZUM4;2.310
Q70CQ2;2.308
P56211;2.308
Q14493;2.305
Q14493;2.305
Q9NQS7;2.301
Q9NQS7;2.301
P15056;2.298
P15056;2.298
O95747;2.291
Q9BQF6;2.288
Q9BQF6;2.285
Q9BQF6;2.285
Q9BQF6;2.285
Q9BQF6;2.285
Q9BQF6;2.285
Q9BQF6;2.285
Q9P2M4;2.284
Q9P2M4;2.255
Q9P2M4;2.255
Q9P2M4;2.255
Q9H4E7;2.234
Q9NZJ0;2.230
Q9NZJ0;2.229
P78371;2.228
Q6GYQ0;2.226
Q13362;2.226
Q8TB68;2.217
Q14738;2.199
Q14738;2.199
Q14738;2.199
P78371;2.196
P78371;2.196
P78371;2.196
Q8TEU7;2.193
P62753;2.182
Q02878;2.179
Q14738;2.175
Q14738;2.175
Q14738;2.175
Q14738;2.175
Q14738;2.175
Q14738;2.175
Q8TDZ2;2.174
Q8TDZ2;2.174
Q8TDZ2;2.174
P46013;2.171
P46013;2.171
P46013;2.171
P46013;2.171
P46013;2.171
Q8TDZ2;2.154
Q8TDZ2;2.154
P26599;2.141
P35269;2.140
P35269;2.140
Q9NYZ3;2.138
Q14738;2.137
Q14738;2.137
Q14738;2.137
Q14738;2.137
Q14738;2.133
Q14738;2.133
Q14738;2.133
Q14738;2.133
Q14738;2.133
Q9UKA9;2.132
Q9H4E7;2.127
Q9H4E7;2.119
Q8TDZ2;2.118
Q8TDZ2;2.118
O00115;2.118
Q16875;2.117
Q8TBM8;2.114
Q99832;2.109
Q99832;2.109
Q9Y4F9;2.108
Q9Y4F9;2.108
Q9NZJ0;2.088
Q9NZJ0;2.088
Q9P258;2.080
P35269;2.077
Q8WYP5;2.076
Q9UQ35;2.073
P20671|Q96KK5|Q99878|P0C0S8;2.070
P20671|Q96KK5|Q99878|P0C0S8;2.070
P20671|Q96KK5|Q99878|P0C0S8;2.070
Q9NQS7;2.067
P20700;2.057
Q9NQS7;2.055
P15882;2.055
P15882;2.055
Q7Z5R6;2.039
Q7Z5R6;2.039
Q7Z5R6;2.039
Q8WWI1;2.026
P15882;2.019
P15882;2.019
Q07352;2.019
P00441;2.012
P33778|P06899|P23527|Q16778;2.009
Q9NQS7;2.008
Q9NQS7;2.008
Q13362;2.006
Q13362;2.006
P49773;1.999
Q07352;1.999
Q07352;1.999
Q9NZJ0;1.985
Q13765;1.984
Q9H410;1.982
Q9H410;1.982
Q96QT4;1.981
Q9Y2I7;1.981
Q15058;1.980
P47736;1.980
Q9BQ48;1.977
Q8NHU6;1.971
Q9H410;1.969
P47736;1.963
P47736;1.963
Q8TDZ2;1.953
Q8TDZ2;1.953
Q8TDZ2;1.953
O75382;1.948
P13807;1.946
P15882;1.938
P15882;1.938
Q07352;1.936
Q07352;1.936
Q9Y4G8;1.928
Q14738;1.927
Q14738;1.927
Q14738;1.927
Q14738;1.927
P20700;1.926
Q9H4E7;1.911
Q9H4E7;1.911
Q9H4E7;1.911
Q9H4E7;1.911
Q9H4E7;1.911
P16220|Q03060;1.901
P16220|Q03060;1.901
P78371;1.898
P15882;1.898
