Uniprot;EGF+I/Ctrl
Q9Y2V2;0.3
Q9Y2V2;0.7
Q9Y2V2;0.7
Q9Y2V2;1.2
Q9Y2U8;1.0
Q9Y2U8;1.4
Q9Y2U8;1.4
Q9Y2U8;1.4
Q9Y2U5|Q96K88;0.4
Q9Y2N3|A8CG34|A8K933|A8MWL5|Q96DI0|Q96HA1|Q9H9X1;0.7
Q9Y2L5-1|Q9Y2L5|A0JP15|A8K922|Q6PCC9|Q9Y2L5-2;0.2
Q9Y2K7-1|Q9Y2K7|Q9Y2K7-3|Q9Y2K7-2;1.3
Q9Y2K7-1|Q9Y2K7|Q9Y2K7-3;1.0
Q9Y2K7-1|Q9Y2K7|Q9Y2K7-2;1.1
Q9Y2K6|Q541F1|Q8IXQ1|Q9UQN9;0.7
Q9Y2K6|Q541F1|Q8IXQ1|Q9UQN9;0.8
Q9Y2H0-2|Q9Y2H0|Q9Y2H0-1|Q5T2Y6|Q6ZUR8;1.1
Q9Y2D8-1|Q9Y2D8|A8K8W0|Q9Y2D8-2;1.3
Q9Y281|Q549N0;1.1
Q9Y266|A8MU04|Q9H2R7;1.0
Q9Y266|A8MU04|Q9H2R7;1.0
Q9Y266|A8MU04|Q9H2R7;1.0
Q9Y266|A8MU04|Q9H2R7;1.5
Q9Y232-2|Q9Y232|A8K6D6|Q9Y232-1;1.0
Q9Y230;1.1
Q9Y230;1.1
Q9UQR1|Q4FD37|Q8TDH4;1.0
Q9UQR0-1|Q9UQR0|Q5JXE6|Q5JXE7|Q9UQR0-2;0.5
Q9UQR0-1|Q9UQR0|Q5JXE6|Q5JXE7;0.5
Q9UQR0-1|Q9UQR0|Q5JXE6|Q5JXE7;1.0
Q9UQQ2|Q59H48;0.2
Q9UQN3;1.5
Q9UQC2-2|Q9UQC2|Q9UQC2-1|A2RRM2|A6NEW9;0.2
Q9UQC2-2|Q9UQC2|Q9UQC2-1|A2RRM2|A6NEW9;0.6
Q9UQ88-1|Q9UQ88|Q5QPR3|Q9UQ88-2|Q9UQ88-3|Q05C84|Q9UQ88-4|Q9UQ88-10|Q4VBY6|Q5QPR4|Q96CA8|Q9UQ88-5|Q2TAJ0|Q9UQ88-8|A8MSR3|P21127-1|P21127|P21127-2|Q6PK02|P21127-9|P21127-3|P21127-8|P21127-6|A4VCI5|P21127-10|P21127-5|Q6P5Y5|P21127-4|P21127-12;0.6
Q9UQ88-1|Q9UQ88|Q5QPR3|Q9UQ88-2|Q9UQ88-3|Q05C84|Q9UQ88-4|Q9UQ88-10|Q4VBY6|Q5QPR4|Q96CA8|Q9UQ88-5|Q2TAJ0|Q9UQ88-8|A8MSR3|P21127-1|P21127|P21127-2|Q6PK02|P21127-9|P21127-3|P21127-8|P21127-6|A4VCI5|P21127-10|P21127-5|Q6P5Y5|P21127-4|P21127-12;0.7
Q9UQ88-1|Q9UQ88|Q5QPR3|Q9UQ88-2|Q9UQ88-3|Q05C84|Q9UQ88-4|Q9UQ88-10|Q4VBY6|Q5QPR4|Q96CA8|Q9UQ88-5|Q2TAJ0|Q9UQ88-8|A8MSR3|P21127-1|P21127|P21127-2|Q6PK02|P21127-9|P21127-3|P21127-8|P21127-6|A4VCI5|P21127-10|P21127-5|Q6P5Y5|P21127-4|P21127-12;0.9
Q9UQ88-1|Q9UQ88|Q5QPR3|Q9UQ88-2|Q9UQ88-3|Q05C84|Q9UQ88-4|Q9UQ88-10|Q4VBY6|Q5QPR4|Q96CA8|Q9UQ88-5|Q2TAJ0;0.8
Q9UQ88-1|Q9UQ88|Q5QPR3|Q9UQ88-2|Q9UQ88-3|Q05C84|Q9UQ88-4|Q9UQ88-10|Q4VBY6|Q5QPR4|Q96CA8|Q9UQ88-5|Q2TAJ0;1.0
Q9UQ88-1|Q9UQ88|Q5QPR3|Q9UQ88-2|Q9UQ88-3|Q05C84|Q9UQ88-4|Q9UQ88-10|Q4VBY6|Q5QPR4|Q96CA8|Q59GL4|Q9UQ88-9|P21127-1|P21127|P21127-2|Q6PK02|P21127-9|P21127-3|P21127-8|P21127-6|A4VCI5|P21127-10|P21127-5|Q6P5Y5;1.1
Q9UQ88-1|Q9UQ88|Q5QPR3|Q9UQ88-2|Q9UQ88-3|Q05C84|Q9UQ88-4|Q9UQ88-10|Q4VBY6|Q5QPR4|Q96CA8|Q59GL4|Q9UQ88-9|P21127-1|P21127|P21127-2|Q6PK02|P21127-9|P21127-3|P21127-8|P21127-6|A4VCI5|P21127-10|P21127-5|Q6P5Y5;1.2
Q9UQ88-1|Q9UQ88|Q5QPR3|Q9UQ88-2|Q9UQ88-3|Q05C84|Q9UQ88-4|Q9UQ88-10|Q4VBY6|Q5QPR4|Q96CA8|Q59GL4|Q9UQ88-9|P21127-1|P21127|P21127-2|Q6PK02|P21127-9|P21127-3|P21127-8|P21127-6|A4VCI5|P21127-10|P21127-5|Q6P5Y5;1.7
Q9UQ88-1|Q9UQ88|Q5QPR3|Q9UQ88-2|Q9UQ88-3|Q05C84|Q9UQ88-4|Q9UQ88-10|Q4VBY6|Q5QPR4|Q96CA8|Q59GL4|Q3SWV2|Q5QPQ9|P21127-1|P21127|P21127-2|Q6PK02|P21127-9|P21127-3|P21127-8|P21127-6|A4VCI5;1.6
Q9UQ80|A8K6Y1|Q6PIN5|Q05D08;1.2
Q9UQ80|A8K6Y1|Q6PIN5;1.2
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39|Q9UQ35-3;0.6
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39|Q9UQ35-3;0.6
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39|Q9UQ35-3;0.7
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39|Q9UQ35-3;0.7
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39|Q9UQ35-3;1.1
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39|Q9UQ35-3;1.2
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39|Q9UQ35-3;1.3
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39|Q9UQ35-3;1.3
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39|Q9UQ35-3;1.3
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39|Q9UQ35-3;1.3
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39|Q5JPB4;0.6
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39|Q5JPB4;0.6
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39|Q5JPB4;0.9
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39|Q5JPB4;1.1
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39|Q5JPB4;1.3
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.1
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.3
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.3
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.3
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.3
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.3
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.3
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.4
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.4
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.4
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.4
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.5
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.5
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.5
Q9UQ35-1|Q9UQ35|A0AUK8|O60382|Q9UQ35-2|A6NKB9|Q05BI2|Q05CV9|Q9UQ39;0.5
